datetime,checkouts
2017-10-13,15194
2017-10-14,20322
2017-10-15,12839
2017-10-16,19437
2017-10-17,18449
2017-10-18,16347
2017-10-19,17014
2017-10-20,14120
2017-10-21,21030
2017-10-22,13000
2017-10-23,19496
2017-10-24,16878
2017-10-25,18382
2017-10-26,16843
2017-10-27,12509
2017-10-28,18912
2017-10-29,12552
2017-10-30,18922
2017-10-31,12975
2017-11-01,18287
2017-11-02,17885
2017-11-03,13361
2017-11-04,21529
2017-11-05,12795
2017-11-06,19850
2017-11-07,17987
2017-11-08,16519
2017-11-09,16263
2017-11-10,13880
2017-11-11,0
2017-11-12,20829
2017-11-13,17326
2017-11-14,20239
2017-11-15,19223
2017-11-16,19237
2017-11-17,14813
2017-11-18,22090
2017-11-19,14381
2017-11-20,21016
2017-11-21,19966
2017-11-22,24018
2017-11-23,0
2017-11-24,12799
2017-11-25,18714
2017-11-26,13327
2017-11-27,17899
2017-11-28,17713
2017-11-29,18593
2017-11-30,17985
2017-12-01,14061
2017-12-02,21399
2017-12-03,14097
2017-12-04,19623
2017-12-05,17004
2017-12-06,17517
2017-12-07,16519
2017-12-08,12426
2017-12-09,18672
2017-12-10,11433
2017-12-11,18052
2017-12-12,15802
2017-12-13,16210
2017-12-14,16093
2017-12-15,13050
2017-12-16,19605
2017-12-17,11310
2017-12-18,19061
2017-12-19,17692
2017-12-20,18217
2017-12-21,13694
2017-12-22,14465
2017-12-23,18411
2017-12-24,0
2017-12-25,0
2017-12-26,18247
2017-12-27,17465
2017-12-28,18125
2017-12-29,11499
2017-12-30,17816
2017-12-31,10534
2018-01-02,25241
2018-01-03,20595
2018-01-04,18633
2018-01-05,15061
2018-01-06,24730
2018-01-07,15437
2018-01-08,20696
2018-01-09,19047
2018-01-10,20413
2018-01-11,17730
2018-01-12,14510
2018-01-13,22930
2018-01-14,13440
2018-01-15,0
2018-01-16,23221
2018-01-17,16742
2018-01-18,17562
2018-01-19,14884
2018-01-20,23387
2018-01-21,15228
2018-01-22,19161
2018-01-23,17111
2018-01-24,19736
2018-01-25,17454
2018-01-26,14769
2018-01-27,23209
2018-01-28,14907
2018-01-29,17139
2018-01-30,18627
2018-01-31,20553
2018-02-01,17713
2018-02-02,15032
2018-02-03,23654
2018-02-04,13302
2018-02-05,19307
2018-02-06,17947
2018-02-07,18830
2018-02-08,16749
2018-02-09,13527
2018-02-10,21708
2018-02-11,14609
2018-02-12,18465
2018-02-13,16036
2018-02-14,16876
2018-02-15,17737
2018-02-16,14573
2018-02-17,22938
2018-02-18,13810
2018-02-19,0
2018-02-20,23922
2018-02-21,18387
2018-02-22,17854
2018-02-23,15521
2018-02-24,22585
2018-02-25,15473
2018-02-26,19423
2018-02-27,17459
2018-02-28,18321
2018-03-01,18373
2018-03-02,15260
2018-03-03,17316
2018-03-04,13682
2018-03-05,21078
2018-03-06,18158
2018-03-07,0
2018-03-08,21828
2018-03-09,15082
2018-03-10,20510
2018-03-11,11931
2018-03-12,19039
2018-03-13,18679
2018-03-14,19739
2018-03-15,18075
2018-03-16,13613
2018-03-17,20404
2018-03-18,13037
2018-03-19,19708
2018-03-20,17291
2018-03-21,18011
2018-03-22,17464
2018-03-23,13914
2018-03-24,21746
2018-03-25,14440
2018-03-26,20198
2018-03-27,17506
2018-03-28,18087
2018-03-29,17544
2018-03-30,12778
2018-03-31,19527
2018-04-01,8220
2018-04-02,21301
2018-04-03,18949
2018-04-04,18994
2018-04-05,17934
2018-04-06,14283
2018-04-07,22604
2018-04-08,13865
2018-04-09,19825
2018-04-10,19120
2018-04-11,17538
2018-04-12,19662
2018-04-13,14674
2018-04-14,20486
2018-04-15,14279
2018-04-16,19513
2018-04-17,17982
2018-04-18,18014
2018-04-19,16282
2018-04-20,12929
2018-04-21,19925
2018-04-22,12583
2018-04-23,18625
2018-04-24,15843
2018-04-25,15433
2018-04-26,14780
2018-04-27,13222
2018-04-28,20951
2018-04-29,12907
2018-04-30,19153
2018-05-01,17375
2018-05-02,17540
2018-05-03,15983
2018-05-04,13622
2018-05-05,17844
2018-05-06,12123
2018-05-07,19106
2018-05-08,16262
2018-05-09,17169
2018-05-10,16375
2018-05-11,12070
2018-05-12,15846
2018-05-13,9879
2018-05-14,17409
2018-05-15,16697
2018-05-16,18169
2018-05-17,16629
2018-05-18,12408
2018-05-19,17902
2018-05-20,12422
2018-05-21,19982
2018-05-22,16639
2018-05-23,16203
2018-05-24,17005
2018-05-25,13786
2018-05-26,17145
2018-05-27,10024
2018-05-28,0
2018-05-29,22895
2018-05-30,18942
2018-05-31,14563
2018-06-01,13335
2018-06-02,17118
2018-06-03,13904
2018-06-04,18443
2018-06-05,18054
2018-06-06,16829
2018-06-07,17446
2018-06-08,13915
2018-06-09,20179
2018-06-10,12863
2018-06-11,19481
2018-06-12,16816
2018-06-13,17254
2018-06-14,17114
2018-06-15,12377
2018-06-16,17215
2018-06-17,10083
2018-06-18,18930
2018-06-19,17559
2018-06-20,16660
2018-06-21,18222
2018-06-22,14012
2018-06-23,19506
2018-06-24,11718
2018-06-25,23448
2018-06-26,19752
2018-06-27,19645
2018-06-28,19631
2018-06-29,15244
2018-06-30,20054
2018-07-01,13320
2018-07-02,22757
2018-07-03,20326
2018-07-04,0
2018-07-05,19674
2018-07-06,15164
2018-07-07,19864
2018-07-08,13004
2018-07-09,21454
2018-07-10,19746
2018-07-11,17926
2018-07-12,18453
2018-07-13,13338
2018-07-14,17840
2018-07-15,11035
2018-07-16,20826
2018-07-17,19703
2018-07-18,18811
2018-07-19,18636
